Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Pea.schyzaphis.minia	178	17	0	0	0	0	117992	24325	0	0	0	0	121	3407	92830	642011	31.61	26.29	723	-	593	-	44	-	79	-	0	0	0	0	0	0	1	0 + 1 part	625	14.237	1.009	0.00	122.53	1.09	3407	92203	723	-	587	-	44	-	80	-
R21Cs02.LSR1.minia	2	2	2	2	2	2	641967	641967	641967	641967	641967	641967	2	426518	641967	642011	26.29	26.29	426518	426518	215449	215449	1	1	2	2	0	0	0	1	0	0	0	0 + 0 part	0	99.965	1.000	0.00	216.74	14.02	426466	641826	426466	426466	215360	215360	1	1	2	2
R21Cs02.myzus.minia	457	120	2	0	0	0	402473	198528	11469	0	0	0	348	5957	353560	642011	28.30	26.29	1078	568	718	-	100	287	200	-	0	0	0	0	0	0	0	5 + 0 part	5912	53.773	1.007	0.00	193.78	9.56	5957	347596	1074	554	709	-	101	293	203	-
R21Cs02.rearranged.minia	21	21	20	16	8	3	528711	528711	524482	498712	359443	184178	21	79913	528711	642011	26.04	26.29	35285	32290	21906	13218	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	82.328	1.000	0.00	217.95	14.38	79913	528560	35285	32290	21906	13218	6	7	10	15
R21Cs02.schyzaphis.minia	283	37	0	0	0	0	196738	55831	0	0	0	0	175	3837	148569	642011	30.31	26.29	857	-	632	-	57	-	109	-	0	0	0	0	0	0	0	0 + 0 part	0	23.032	1.005	0.00	178.54	4.73	3837	148538	857	-	632	-	57	-	109	-
Sl.LSR1.minia	52	49	33	24	5	1	638705	636438	591731	528653	219072	80324	51	80324	638245	642011	26.40	26.29	19768	19768	12763	12763	10	10	20	20	0	0	0	0	0	0	0	0 + 2 part	1850	99.077	1.000	0.00	170.73	11.32	80324	636372	19768	19768	12763	12763	10	10	20	20
Sl.myzus.minia	328	76	1	0	0	0	270253	118303	5521	0	0	0	241	5521	231722	642011	29.31	26.29	1032	-	704	-	74	-	143	-	0	0	0	0	0	0	0	5 + 2 part	7068	34.851	1.004	0.00	99.67	3.13	5521	224654	992	-	676	-	75	-	147	-
Sl.rearranged.minia	53	52	34	21	3	0	520299	519839	467951	378629	98940	0	52	38313	519839	642011	26.07	26.29	15059	13082	9293	4457	12	16	23	37	0	0	0	0	0	0	0	0 + 0 part	0	80.965	1.000	0.00	170.06	11.16	38313	519814	15059	13082	9293	4457	12	16	23	37
Sl.schyzaphis.minia	181	20	0	0	0	0	120602	28718	0	0	0	0	110	4311	89125	642011	31.39	26.29	800	-	620	-	38	-	70	-	0	0	0	0	0	0	0	0 + 2 part	1649	13.554	1.005	0.00	79.29	2.30	4311	87465	799	-	609	-	39	-	71	-
Sv.LSR1.minia	28	25	25	22	11	1	640726	638505	638505	618276	436228	88672	28	88672	640726	642011	26.32	26.29	30746	30746	21553	21553	7	7	13	13	0	0	0	0	0	0	0	1 + 0 part	588	99.718	1.000	0.00	139.64	13.43	88672	640063	30746	30746	21553	21553	7	7	13	13
Sv.myzus.minia	394	82	1	0	0	0	309205	121856	5521	0	0	0	283	5521	259119	642011	29.12	26.29	952	-	673	-	90	-	171	-	0	0	0	0	0	0	1	7 + 1 part	6788	39.028	1.007	0.00	138.09	5.19	5521	252287	925	-	654	-	91	-	174	-
Sv.rearranged.minia	46	44	38	23	2	0	524789	523156	506803	401286	66331	0	46	39738	524789	642011	26.06	26.29	15016	12567	10377	6162	12	16	23	34	0	0	0	0	0	0	0	0 + 0 part	0	81.737	1.000	0.00	143.68	12.39	39738	524714	15016	12567	10377	6162	12	16	23	34
Sv.schyzaphis.minia	213	23	0	0	0	0	138159	32580	0	0	0	0	124	4032	98973	642011	31.51	26.29	777	-	615	-	43	-	80	-	0	0	0	0	0	0	1	1 + 1 part	1177	15.149	1.006	0.00	121.33	3.08	4032	97788	740	-	614	-	44	-	80	-
Vc.LSR1.minia	134	113	48	13	0	0	629040	615560	436480	176460	0	0	128	22061	626317	642011	26.38	26.29	7588	7555	4278	4246	29	30	56	58	0	0	0	0	0	0	0	0 + 0 part	0	97.465	1.001	0.00	185.06	11.99	22061	625780	7588	7555	4278	4246	29	30	56	58
Vc.myzus.minia	362	69	0	0	0	0	286634	106851	0	0	0	0	270	3635	245445	642011	29.20	26.29	936	-	685	-	86	-	164	-	0	0	0	0	0	0	0	5 + 0 part	4877	37.217	1.007	0.00	131.83	2.51	3635	240097	929	-	671	-	87	-	166	-
Vc.rearranged.minia	121	102	39	8	0	0	514939	501537	331129	112915	0	0	117	18883	513081	642011	26.12	26.29	6545	5110	4075	1678	26	38	51	87	0	0	0	0	0	0	0	0 + 0 part	0	79.912	1.000	0.00	184.00	11.89	18883	513013	6545	5110	4075	1678	26	38	51	87
Vc.schyzaphis.minia	191	21	0	0	0	0	126236	28951	0	0	0	0	123	3527	96109	642011	31.28	26.29	755	-	592	-	44	-	80	-	0	0	0	0	0	0	0	0 + 0 part	0	14.821	1.010	0.00	115.60	3.15	3527	95644	755	-	592	-	44	-	80	-
Vl.LSR1.minia	8	3	2	2	2	2	645324	642082	640856	640856	640856	640856	6	586249	644477	642011	26.40	26.29	586249	586249	586249	586249	1	1	1	1	0	0	0	1	0	0	0	1 + 2 part	2197	99.963	1.001	0.00	217.37	14.18	586234	642105	586234	586234	586234	586234	1	1	1	1
Vl.myzus.minia	397	89	1	0	0	0	319563	135586	5523	0	0	0	286	5523	269919	642011	29.11	26.29	1003	-	691	-	89	-	170	-	0	0	0	0	0	0	1	6 + 2 part	8287	40.431	1.008	0.00	128.67	4.62	5523	261600	985	-	666	-	90	-	175	-
Vl.rearranged.minia	21	21	20	16	8	3	526485	526485	522716	497457	358996	184267	21	79917	526485	642011	26.04	26.29	35268	32292	21685	13225	6	7	10	15	0	0	0	1	0	0	0	0 + 0 part	0	81.984	1.000	0.00	213.74	13.87	79917	526323	35268	32292	21685	13225	6	7	10	15
Vl.schyzaphis.minia	231	22	0	0	0	0	149225	31463	0	0	0	0	136	4324	106948	642011	31.51	26.29	758	-	607	-	48	-	87	-	0	0	0	0	0	0	1	1 + 2 part	2610	16.131	1.007	0.00	99.46	1.93	4324	104338	745	-	585	-	49	-	89	-
